company,year,quarter,sentiment_score,price_return,aligned
BAM,2022,Q4,0.7273692573819842,0.010461718696023258,True
BAM,2023,Q3,0.676492149179632,0.26319015190758577,True
BAM,2023,Q4,0.7686027407646179,0.5488101221158301,True
BAM,2022,Q3,0.7982394439833504,-0.10406245167697291,False
BAM,2024,Q1,0.7910227179527283,-0.08395008684558843,False
BAM,2023,Q2,0.822585920492808,0.0288026017016159,True
BAM,2024,Q2,0.7803246162154458,0.270979803060196,True
BAM,2023,Q1,0.8153629153966904,0.018305325292212783,True
Bank of America,2022,Q3,0.3775981068611145,0.07152229482129917,False
Bank of America,2018,Q4,0.6168320218722025,-0.055494929838979884,False
Bank of America,2018,Q1,0.5403730869293213,-0.034282676353281555,False
Bank of America,2020,Q1,-0.05181110302607218,0.191356616717319,False
Bank of America,2021,Q3,0.5698977666241782,0.03863332707289762,True
Bank of America,2022,Q4,0.4707365759781429,-0.36884449949690395,True
Bank of America,2024,Q1,0.5654885383213267,0.06641479035968594,True
Bank of America,2019,Q3,0.47771973793323225,0.24268275512458565,False
Bank of America,2024,Q2,0.5605575396464422,-0.008825981344193514,False
Bank of America,2021,Q1,0.3250436882177989,0.03981060870894969,False
Bank of America,2021,Q2,0.001061175878231342,0.04214498422243883,False
Bank of America,2018,Q2,0.5907629867394765,0.04676098143493717,True
Bank of America,2023,Q1,0.17894256114959717,0.01044747359231235,False
Bank of America,2019,Q4,0.49767713993787766,-0.09113584922670497,True
Bank of America,2023,Q2,0.056759558618068695,-0.054514812043421595,True
Bank of America,2017,Q4,0.2811180464923382,0.35722054891450683,False
Bank of America,2022,Q2,0.45160251217229025,-0.02211629564180936,True
Bank of America,2020,Q2,0.017260533003580002,0.02904458296060184,False
Bank of America,2020,Q3,-0.020616848021745682,0.2517364269253914,False
Bank of America,2019,Q1,0.0005692879358927409,0.02160803315330997,False
Bank of America,2021,Q4,0.37617480258146924,0.4666030116216584,False
Bank of America,2023,Q4,-0.13174282709757487,0.17505596616330663,False
Bank of America,2023,Q3,0.3079880177974701,0.27111354099467416,False
Bank of America,2022,Q1,0.09778723120689392,-0.21654026365454263,True
Bank of America,2020,Q4,0.0508108797826265,0.12891477342453753,False
Bank of America,2018,Q3,0.4188460655072156,-0.17280572056730809,True
Bank of America,2019,Q2,0.5713844469615391,0.00419592641463432,True
Cisco,2019,Q3,0.8121146559715271,0.004408212560386473,True
Cisco,2020,Q1,-0.14029215648770332,0.21543297040303333,False
Cisco,2023,Q4,0.7230266588074821,0.08135484523540262,True
Cisco,2021,Q3,0.746473851799965,0.1615845954291559,True
Cisco,2021,Q2,0.6479594165628607,0.04541177569334537,True
Cisco,2022,Q4,0.006476789712905884,-0.1534492915004107,True
Cisco,2019,Q2,0.769087940454483,-0.10215168655629979,False
Cisco,2018,Q2,0.7532491343361991,0.14527365795622257,True
Cisco,2018,Q4,0.3693864941596985,0.44265676871799575,False
Cisco,2024,Q3,0.3788554583277021,0.1308750657835673,False
Cisco,2019,Q1,0.6849854929106576,0.001755629814825061,True
Cisco,2024,Q4,0.7692434072494507,0.2526081151710541,True
Cisco,2020,Q4,0.05237148489270892,0.10676309590585119,False
Cisco,2021,Q1,-0.20224254131317138,0.025188753839205675,False
Cisco,2022,Q3,0.30415835976600647,0.16450748587232011,False
Cisco,2022,Q1,0.5535872081915537,-0.22433265750846035,False
Cisco,2020,Q3,0.2714580808367048,0.14639194825166,False
Cisco,2019,Q4,0.04063519409724644,-0.027615125823892365,True
Cisco,2024,Q1,0.8427535990873972,-0.04280265430085613,False
Cisco,2021,Q4,0.8831045106053352,0.3095237639076429,True
Cisco,2020,Q2,-0.1620834767818451,-0.14529562131639687,True
